searched_item,location,item_found
Pizza de Chocolate,Setor 1,False
Salada Grega,Setor 4,False
Pizza de Frango com Catupiry,Setor 4,True
Ribeye Black Angus,Setor 1,True
Linguiça Artesanal,Setor 3,True
Pudim de Leite,Setor 2,True
Omelete,Setor 3,False
Nigiri de Uni,Setor 4,False
Ratatouille,Setor 1,True
Risoto de Funghi,Setor 3,False
Pizza de Frango com Catupiry,Setor 1,False
Ostras Frescas,Setor 2,False
Cachorro-Quente,Setor 1,False
Sashimi de Toro,Setor 1,False
Milkshake,Setor 1,False
Lagosta Grelhada,Setor 1,True
Foie Gras,Setor 2,False
Pizza de Chocolate,Setor 2,False
Alcatra na Brasa,Setor 4,True
Abacaxi Grelhado,Setor 2,False
Fraldinha,Setor 1,False
Tomahawk,Setor 2,False
Coq au Vin,Setor 4,False
Frango Grelhado,Setor 3,True
Cachorro-Quente,Setor 4,False
Gnocchi ao Sugo,Setor 3,False
Risoto de Camarão,Setor 2,False
Picanha,Setor 1,False
Coq au Vin,Setor 3,False
Linguado com Trufas,Setor 1,True
Risoto de Funghi,Setor 1,True
Polvo à Lagareiro,Setor 2,False
Tacos de Carne,Setor 1,False
Homus,Setor 2,False
X-Salada,Setor 3,False
Linguado com Trufas,Setor 3,False
Bobó de Camarão,Setor 2,True
Tataki de Wagyu,Setor 4,False
Tacos de Carne,Setor 2,False
Wagyu,Setor 1,True
Sushi de Enguia,Setor 2,True
Soufflé de Chocolate,Setor 2,False
Quesadilla,Setor 1,False
Batata Frita,Setor 1,False
Tomahawk,Setor 1,True
Arroz Branco,Setor 2,False
Risoto de Funghi,Setor 1,True
Lagosta Grelhada,Setor 2,False
Spaghetti à Bolonhesa,Setor 2,True
Feijão Preto,Setor 3,True
Churros,Setor 4,True
Kafta,Setor 2,False
Cachorro-Quente,Setor 3,False
Ostras Frescas,Setor 3,False
Salada Simples,Setor 1,False
Coq au Vin,Setor 1,True
Polvo à Lagareiro,Setor 2,False
Salada Grega,Setor 4,False
Prime Rib Dry Aged,Setor 3,False
Esfiha Doce,Setor 3,False
Gnocchi ao Sugo,Setor 4,False
Moqueca de Peixe,Setor 2,True
Bobó de Camarão,Setor 1,False
Cordeiro Assado,Setor 2,False
Linguiça Artesanal,Setor 2,False
Tabule,Setor 1,False
Nachos com Guacamole,Setor 3,False
Baklava,Setor 1,False
Sashimi de Toro,Setor 4,False
Pizza de Chocolate,Setor 4,True
Tomahawk,Setor 3,False
X-Salada,Setor 3,False
Ramen Trufado,Setor 1,False
Abacaxi Grelhado,Setor 4,True
Alcatra na Brasa,Setor 1,False
Pizza de Chocolate,Setor 1,False
Feijão Preto,Setor 2,False
Sashimi de Toro,Setor 2,True
Ribeye Black Angus,Setor 3,False
Tomahawk,Setor 4,False
Linguiça Artesanal,Setor 4,True
Gelatina,Setor 2,False
Moqueca de Peixe,Setor 2,True
Cordeiro Assado,Setor 4,False
Bobó de Camarão,Setor 2,True
Wagyu,Setor 2,False
X-Salada,Setor 3,False
Pudim de Leite,Setor 1,False
Homus,Setor 3,True
Esfiha Doce,Setor 1,False
Macarrão ao Sugo,Setor 1,False
Wagyu,Setor 3,False
Costela com Mandioca,Setor 3,False
Gelatina,Setor 4,False
Arroz de Pato,Setor 1,False
Burrito de Frango,Setor 3,False
Filé Rossini,Setor 2,False
Gelatina,Setor 3,True
Polenta Cremosa,Setor 3,False
Abacaxi Grelhado,Setor 3,True
Polvo Grelhado,Setor 2,False
Milkshake,Setor 4,False
Tataki de Wagyu,Setor 4,False
Chateaubriand,Setor 3,False
Tomahawk,Setor 1,True
Gnocchi ao Sugo,Setor 3,False
Pizza Margherita,Setor 3,False
Tacos de Carne,Setor 1,False
Nigiri de Uni,Setor 4,False
King Crab,Setor 4,False
Linguiça Artesanal,Setor 3,True
Sushi de Enguia,Setor 4,False
Risoto de Funghi,Setor 4,False
Milkshake,Setor 2,True
Tabule,Setor 1,False
Linguiça Artesanal,Setor 4,True
Esfiha de Carne,Setor 1,False
Frango Grelhado,Setor 4,False
Costelão,Setor 3,True
Costelão,Setor 2,False
Cachorro-Quente,Setor 4,False
Farofa Simples,Setor 4,False
Ratatouille,Setor 2,False
Omelete,Setor 1,False
Frango Grelhado,Setor 3,True
Alcatra na Brasa,Setor 2,False
Alcatra na Brasa,Setor 3,True
Frango à Milanesa,Setor 3,False
Pizza Margherita,Setor 4,False
Ratatouille,Setor 4,False
Moussaka,Setor 3,True
Cachorro-Quente,Setor 4,False
Fettuccine Alfredo,Setor 1,False
Ostras Frescas,Setor 4,False
Gnocchi ao Sugo,Setor 2,False
Churros,Setor 2,False
Polvo à Lagareiro,Setor 2,False
Baklava,Setor 4,False
Filé Rossini,Setor 2,False
King Crab,Setor 2,False
Risoto de Camarão,Setor 4,False
Bobó de Camarão,Setor 2,True
Frango Grelhado,Setor 3,True
Omelete,Setor 4,True
Bobó de Camarão,Setor 4,False
Batata Frita,Setor 3,False
Arroz com Feijão,Setor 4,True
Risoto de Funghi,Setor 2,False
Feijão Preto,Setor 4,False
Tiramisu,Setor 4,False
Esfiha de Carne,Setor 2,False
Foie Gras,Setor 1,True
Prime Rib Dry Aged,Setor 3,False
Pizza Margherita,Setor 1,False
Cachorro-Quente,Setor 1,False
Batata Frita,Setor 4,False
Linguiça Artesanal,Setor 4,True
Moqueca de Peixe,Setor 3,False
Spaghetti à Bolonhesa,Setor 2,True
Ratatouille,Setor 3,False
X-Salada,Setor 3,False
Baklava,Setor 2,False
Frango à Milanesa,Setor 2,False
Pizza de Frango com Catupiry,Setor 1,False
Carne de Panela,Setor 2,False
Paella Valenciana,Setor 1,False
King Crab,Setor 4,False
Pappardelle ao Ragu de Cordeiro,Setor 3,False
Abacaxi Grelhado,Setor 1,False
Alcatra na Brasa,Setor 3,True
Ratatouille,Setor 3,False
Spaghetti à Bolonhesa,Setor 4,False
X-Bacon,Setor 3,False
Linguiça Artesanal,Setor 4,True
Omelete,Setor 1,False
Salada Simples,Setor 3,False
Alcatra na Brasa,Setor 1,False
X-Bacon,Setor 2,True
Ribeye Black Angus,Setor 1,True
Fettuccine Alfredo,Setor 1,False
Chili com Carne,Setor 2,False
Farofa Simples,Setor 1,False
Arroz de Pato,Setor 2,True
Coq au Vin,Setor 3,False
Tomahawk,Setor 4,False
Spaghetti à Bolonhesa,Setor 1,False
Prime Rib Dry Aged,Setor 4,False
Polvo Grelhado,Setor 4,False
Tiramisu,Setor 1,True
Milkshake,Setor 3,False
Pizza de Chocolate,Setor 3,False
Arroz de Pato,Setor 1,False
Churros,Setor 1,False
Pudim de Leite,Setor 3,False
Esfiha Doce,Setor 1,False
Esfiha de Carne,Setor 4,False
X-Salada,Setor 2,True
Cachorro-Quente,Setor 3,False
Chili com Carne,Setor 4,True
Risoto de Camarão,Setor 2,False
Linguado com Trufas,Setor 4,False
Moqueca de Peixe,Setor 3,False
Esfiha de Carne,Setor 3,True
Gnocchi ao Sugo,Setor 4,False
Esfiha de Carne,Setor 2,False
Gelatina,Setor 2,False
Fraldinha,Setor 3,True
Nigiri de Uni,Setor 3,False
Lagosta Grelhada,Setor 3,False
Frango à Milanesa,Setor 2,False
Omelete,Setor 2,False
Moqueca de Peixe,Setor 4,False
Polenta Cremosa,Setor 3,False
Bobó de Camarão,Setor 3,False
Lasagna,Setor 4,False
Risoto de Camarão,Setor 3,False
Paella Valenciana,Setor 2,False
X-Bacon,Setor 3,False
Sashimi de Toro,Setor 2,True
Misto Quente,Setor 3,False
Chateaubriand,Setor 3,False
Spaghetti à Bolonhesa,Setor 4,False
Polvo à Lagareiro,Setor 2,False
Bife Acebolado,Setor 2,False
Churros,Setor 3,False
Filé Rossini,Setor 1,True
Pizza Margherita,Setor 1,False
Tomahawk,Setor 1,True
Arroz Branco,Setor 3,True
Fettuccine Alfredo,Setor 4,False
Costela com Mandioca,Setor 2,True
Linguiça Artesanal,Setor 2,False
King Crab,Setor 2,False
Tomahawk,Setor 1,True
Pudim de Leite,Setor 4,False
Risoto de Funghi,Setor 2,False
Farofa de Banana,Setor 4,False
X-Salada,Setor 2,True
Arroz de Pato,Setor 3,False
Farofa de Banana,Setor 2,True
Farofa de Banana,Setor 4,False
Carne de Panela,Setor 3,True
Misto Quente,Setor 4,False
Abacaxi Grelhado,Setor 1,False
Quesadilla,Setor 1,False
Polvo à Lagareiro,Setor 4,False
Lagosta Grelhada,Setor 2,False
Filé Mignon com Foie Gras,Setor 1,True
Pappardelle ao Ragu de Cordeiro,Setor 1,True
Chili com Carne,Setor 1,False
Fraldinha,Setor 2,False
Chili com Carne,Setor 4,True
Linguiça Artesanal,Setor 3,True
Abacaxi Grelhado,Setor 4,True
Farofa Simples,Setor 3,True
Risoto de Camarão,Setor 4,False
Esfiha Doce,Setor 3,False
Frango à Milanesa,Setor 4,True
Batata Frita,Setor 4,False
Pizza de Frango com Catupiry,Setor 4,True
Frango à Milanesa,Setor 4,True
Lagosta Grelhada,Setor 3,False
Ravioli de Ricota e Espinafre,Setor 1,True
Gnocchi ao Sugo,Setor 1,True
Costela com Mandioca,Setor 3,False
Sashimi de Toro,Setor 4,False
Tabule,Setor 2,False
Pizza de Muçarela,Setor 2,False
X-Bacon,Setor 4,False
Arroz de Pato,Setor 3,False
Sushi de Enguia,Setor 3,False
Picanha,Setor 4,True
Ostras Frescas,Setor 1,True
Gelatina,Setor 2,False
Salada Simples,Setor 3,False
Linguiça Artesanal,Setor 1,False
Panna Cotta,Setor 3,False
Bouillabaisse,Setor 4,False
Lagosta Grelhada,Setor 3,False
Bobó de Camarão,Setor 2,True
Panna Cotta,Setor 2,True
Polvo à Lagareiro,Setor 4,False
Chateaubriand,Setor 3,False
Bouillabaisse,Setor 4,False
Tomahawk,Setor 1,True
Pizza de Calabresa,Setor 4,True
Picanha,Setor 2,False
Burrito de Frango,Setor 2,False
X-Bacon,Setor 3,False
Ostras Frescas,Setor 4,False
Ratatouille,Setor 3,False
Frango Grelhado,Setor 2,False
Gelatina,Setor 2,False
Abacaxi Grelhado,Setor 1,False
Nigiri de Uni,Setor 1,False
Polvo à Lagareiro,Setor 4,False
Quesadilla,Setor 1,False
Alcatra na Brasa,Setor 2,False
Spaghetti à Bolonhesa,Setor 3,False
Esfiha de Carne,Setor 2,False
Bouillabaisse,Setor 1,True
Bouillabaisse,Setor 4,False
Milkshake,Setor 4,False
Foie Gras,Setor 4,False
Arroz Branco,Setor 4,False
Tomahawk,Setor 3,False
Prime Rib Dry Aged,Setor 2,False
Pappardelle ao Ragu de Cordeiro,Setor 4,False
Batata Frita,Setor 3,False
Lasagna,Setor 2,True
Farofa Simples,Setor 3,True
Fettuccine Alfredo,Setor 2,True
Arroz com Feijão,Setor 2,False
Temaki de Caviar,Setor 4,False
Caviar com Blinis,Setor 4,False
Frango Grelhado,Setor 1,False
Abacaxi Grelhado,Setor 3,True
Soufflé de Chocolate,Setor 1,True
King Crab,Setor 1,True
Picanha,Setor 1,False
Kafta,Setor 4,False
Gelatina,Setor 4,False
Polvo Grelhado,Setor 1,True
Churros,Setor 1,False
Pizza Portuguesa,Setor 4,True
Foie Gras,Setor 1,True
Burrito de Frango,Setor 4,True
Tacos de Carne,Setor 2,False
Bobó de Camarão,Setor 4,False
Ostras Frescas,Setor 1,True
Caviar com Blinis,Setor 2,False
Ratatouille,Setor 3,False
Polvo Grelhado,Setor 3,False
Feijão Preto,Setor 4,False
Pizza de Calabresa,Setor 4,True
Gnocchi ao Sugo,Setor 1,True
Costela com Mandioca,Setor 2,True
Pizza de Calabresa,Setor 4,True
Pizza Portuguesa,Setor 1,False
Carne de Panela,Setor 3,True
Cachorro-Quente,Setor 4,False
Pudim de Leite,Setor 2,True
Alcatra na Brasa,Setor 2,False
Soufflé de Chocolate,Setor 4,False
Moqueca de Peixe,Setor 3,False
Chili com Carne,Setor 1,False
Nachos com Guacamole,Setor 1,False
Feijão Preto,Setor 3,True
Pappardelle ao Ragu de Cordeiro,Setor 4,False
Frango à Milanesa,Setor 1,False
Esfiha de Carne,Setor 2,False
Esfiha de Carne,Setor 3,True
Bobó de Camarão,Setor 1,False
Abacaxi Grelhado,Setor 3,True
Pizza de Frango com Catupiry,Setor 2,False
Chili com Carne,Setor 3,False
Polvo Grelhado,Setor 4,False
Fraldinha,Setor 1,False
Pizza de Chocolate,Setor 2,False
Bife Acebolado,Setor 4,True
Batata Frita,Setor 2,True
Wagyu,Setor 3,False
Panna Cotta,Setor 4,False
Polvo à Lagareiro,Setor 1,False
Farofa Simples,Setor 3,True
Temaki de Caviar,Setor 3,False
Polvo à Lagareiro,Setor 1,False
Carne de Panela,Setor 4,False
Costelão,Setor 4,True
Pizza de Muçarela,Setor 3,False
Cachorro-Quente,Setor 3,False
Filé Rossini,Setor 4,False
Baklava,Setor 3,True
Quesadilla,Setor 1,False
X-Salada,Setor 1,False
Carne de Panela,Setor 1,False
Polenta Cremosa,Setor 1,False
Wagyu,Setor 2,False
Cordeiro Assado,Setor 4,False
Paella Valenciana,Setor 3,True
Ostras Frescas,Setor 3,False
Pizza de Frango com Catupiry,Setor 4,True
Pappardelle ao Ragu de Cordeiro,Setor 1,True
Creme Catalão,Setor 1,False
Pizza de Frango com Catupiry,Setor 4,True
Moussaka,Setor 1,False
Costelão,Setor 4,True
Alcatra na Brasa,Setor 2,False
Alcatra na Brasa,Setor 4,True
Cachorro-Quente,Setor 3,False
Ravioli de Ricota e Espinafre,Setor 2,False
Chateaubriand,Setor 1,True
Ratatouille,Setor 4,False
Filé Rossini,Setor 2,False
Prime Rib Dry Aged,Setor 2,False
Temaki de Caviar,Setor 3,False
Fraldinha,Setor 4,True
Pizza de Muçarela,Setor 1,False
Abacaxi Grelhado,Setor 4,True
Salada Grega,Setor 3,True
Frango Grelhado,Setor 1,False
Salada Grega,Setor 2,False
Ravioli de Ricota e Espinafre,Setor 1,True
Foie Gras,Setor 3,False
Polenta Cremosa,Setor 3,False
Kibe Assado,Setor 3,True
Fettuccine Alfredo,Setor 2,True
Moqueca de Peixe,Setor 3,False
Chili com Carne,Setor 4,True
Costelão,Setor 3,True
Batata Frita,Setor 2,True
Picanha,Setor 1,False
Wagyu,Setor 3,False
Ramen Trufado,Setor 2,True
Costelão,Setor 3,True
Burrito de Frango,Setor 4,True
Omelete,Setor 1,False
Risoto de Funghi,Setor 3,False
Frango Grelhado,Setor 3,True
Tomahawk,Setor 2,False
Sushi de Enguia,Setor 3,False
King Crab,Setor 1,True
Coq au Vin,Setor 1,True
Frango Grelhado,Setor 2,False
X-Bacon,Setor 3,False
Esfiha Doce,Setor 1,False
Frango Grelhado,Setor 1,False
Linguiça Artesanal,Setor 4,True
Burrito de Frango,Setor 3,False
Carne de Panela,Setor 3,True
Bouillabaisse,Setor 4,False
Carne de Panela,Setor 4,False
Ratatouille,Setor 3,False
Moussaka,Setor 1,False
Pudim de Leite,Setor 1,False
King Crab,Setor 4,False
Ravioli de Ricota e Espinafre,Setor 1,True
Costelão,Setor 4,True
Bobó de Camarão,Setor 4,False
Gnocchi ao Sugo,Setor 3,False
Abacaxi Grelhado,Setor 4,True
Risoto de Camarão,Setor 3,False
Baklava,Setor 2,False
Nachos com Guacamole,Setor 4,True
Paella Valenciana,Setor 3,True
Lagosta Grelhada,Setor 2,False
Costelão,Setor 4,True
Alcatra na Brasa,Setor 3,True
Frango à Milanesa,Setor 4,True
Linguiça Artesanal,Setor 1,False
Burrito de Frango,Setor 1,False
Lagosta Grelhada,Setor 3,False
Spaghetti à Bolonhesa,Setor 4,False
Fraldinha,Setor 1,False
Chili com Carne,Setor 4,True
Filé Mignon com Foie Gras,Setor 2,False
Churros,Setor 2,False
Cachorro-Quente,Setor 3,False
Filé Mignon com Foie Gras,Setor 3,False
Arroz Branco,Setor 3,True
Farofa Simples,Setor 3,True
Esfiha Doce,Setor 4,True
X-Bacon,Setor 4,False
Chili com Carne,Setor 3,False
Linguado com Trufas,Setor 2,False
Salada Grega,Setor 4,False
Milkshake,Setor 3,False
Coq au Vin,Setor 2,False
Linguado com Trufas,Setor 4,False
Linguiça Artesanal,Setor 4,True
Ratatouille,Setor 4,False
Quesadilla,Setor 1,False
Chili com Carne,Setor 3,False
Farofa Simples,Setor 3,True
Soufflé de Chocolate,Setor 1,True
Creme Catalão,Setor 2,False
Ramen Trufado,Setor 2,True
Costelão,Setor 3,True
Polenta Cremosa,Setor 3,False
Quesadilla,Setor 2,False
Ravioli de Ricota e Espinafre,Setor 2,False
Pizza de Muçarela,Setor 2,False
Picanha,Setor 3,True
Lasagna,Setor 2,True
Milkshake,Setor 2,True
Pizza Portuguesa,Setor 4,True
Pizza de Chocolate,Setor 1,False
Nachos com Guacamole,Setor 1,False
Tataki de Wagyu,Setor 1,False
Pizza de Frango com Catupiry,Setor 1,False
Ostras Frescas,Setor 3,False
Sashimi de Toro,Setor 1,False
Ravioli de Ricota e Espinafre,Setor 1,True
Bouillabaisse,Setor 4,False
Batata Frita,Setor 4,False
Creme Catalão,Setor 4,False
Salada Simples,Setor 2,False
Wagyu,Setor 1,True
Lasagna,Setor 4,False
King Crab,Setor 1,True
