name,type,products,ingredients,location
Restaurante 1,Steakhouse Premium,"['Wagyu', 'Prime Rib Dry Aged', 'Tomahawk', 'Filé Mignon com Foie Gras', 'Ribeye Black Angus', 'Chateaubriand']","['carne wagyu A5', 'sal Maldon', 'azeite de oliva', 'pimenta-do-reino moída na hora', 'costela bovina maturada', 'manteiga', 'alho', 'alecrim fresco', 'tomilho', 'corte de costela com osso longo', 'chimichurri (salsa, orégano, alho, azeite, vinagre)', 'sal grosso', 'filé mignon alto', 'foie gras', 'vinho do Porto', 'pimenta preta', 'ribeye angus', 'legumes grelhados (abobrinha, pimentão, cebola roxa)', 'sal marinho', 'filé central bovino', 'batatas rústicas', 'manteiga trufada']",Setor 1
Restaurante 2,Restaurante Japonês de Luxo,"['Sashimi de Toro', 'Nigiri de Uni', 'Tataki de Wagyu', 'Sushi de Enguia', 'Temaki de Caviar', 'Ramen Trufado']","['atum bluefin (parte gordurosa)', 'shoyu', 'wasabi fresco', 'gengibre em conserva', 'arroz japonês temperado (vinagre de arroz, açúcar, sal)', 'ouriço-do-mar', 'alga nori', 'carne wagyu selada', 'molho ponzu (shoyu, limão, saquê)', 'cebolinha', 'gergelim torrado', 'enguia grelhada', 'molho tare (shoyu doce)', 'sementes de gergelim', 'caviar', 'pepino em tiras', 'creme de wasabi', 'caldo de ossobuco', 'noodles de trigo', 'ovo cozido', 'cogumelos shiitake', 'óleo de trufa negra']",Setor 2
Restaurante 3,Francesa,"['Foie Gras', 'Coq au Vin', 'Bouillabaisse', 'Filé Rossini', 'Ratatouille', 'Soufflé de Chocolate']","['fígado de pato', 'brioche tostado', 'figo', 'redução de vinho branco', 'frango caipira', 'vinho tinto borgonha', 'cogumelos Paris', 'bacon', 'cebola pérola', 'ervas de Provence', 'peixes variados (rouget, robalo, dourada)', 'camarão', 'mexilhão', 'tomate', 'alho', 'açafrão', 'azeite de oliva', 'trufas negras', 'molho demi-glace', 'berinjela', 'abobrinha', 'pimentão', 'cebola', 'manjericão', 'chocolate amargo', 'ovos', 'açúcar', 'licor Grand Marnier']",Setor 1
Restaurante 4,Frutos do Mar Premium,"['Lagosta Grelhada', 'King Crab', 'Ostras Frescas', 'Linguado com Trufas', 'Risoto de Camarão', 'Caviar com Blinis']","['lagosta', 'manteiga', 'alho', 'ervas finas (salsa, tomilho, estragão)', 'limão siciliano', 'caranguejo-real', 'vinho branco', 'creme de leite fresco', 'cebolinha', 'ostras', 'molho mignonette (vinagre de vinho tinto, chalota, pimenta)', 'linguado fresco', 'trufa branca', 'creme de leite', 'arroz arbóreo', 'cebola', 'parmesão', 'blinis (farinha, leite, ovos, fermento)', 'crème fraîche']",Setor 1
Restaurante 5,Italiana Premium,"['Risoto de Funghi', 'Pappardelle ao Ragu de Cordeiro', 'Ravioli de Ricota e Espinafre', 'Gnocchi ao Sugo', 'Polvo Grelhado', 'Tiramisu']","['arroz arbóreo', 'funghi seco', 'parmesão', 'azeite de oliva', 'massa fresca', 'cordeiro', 'tomate', 'alho', 'cebola', 'ervas de Provence', 'ricota', 'espinafre', 'farinha de trigo', 'batata', 'polvo', 'limão siciliano', 'cacau', 'café', 'ovos', 'açúcar', 'mascarpone']",Setor 1
Restaurante 6,Brasileira Contemporânea,"['Moqueca de Peixe', 'Bobó de Camarão', 'Arroz de Pato', 'Costela com Mandioca', 'Farofa de Banana', 'Pudim de Leite']","['peixe branco', 'camarão', 'pato', 'arroz', 'mandioca', 'banana', 'farinha de mandioca', 'óleo de dendê', 'leite de coco', 'pimentão', 'cebola', 'tomate', 'coentro', 'costela bovina', 'alho', 'ovos', 'açúcar', 'leite condensado']",Setor 2
Restaurante 7,Mediterrânea,"['Salada Grega', 'Moussaka', 'Polvo à Lagareiro', 'Paella Valenciana', 'Cordeiro Assado', 'Creme Catalão']","['azeite de oliva', 'pepino', 'tomate', 'azeitona preta', 'queijo feta', 'berinjela', 'batata', 'carne moída', 'polvo', 'arroz', 'açafrão', 'frango', 'camarão', 'mariscos', 'cordeiro', 'ervas finas', 'leite', 'ovos', 'canela', 'açúcar']",Setor 3
Restaurante 8,Churrascaria Premium,"['Picanha', 'Alcatra na Brasa', 'Fraldinha', 'Linguiça Artesanal', 'Costelão', 'Abacaxi Grelhado']","['picanha', 'alcatra', 'fraldinha', 'linguiça artesanal', 'costela bovina', 'sal grosso', 'carvão', 'abacaxi', 'açúcar mascavo']",Setor 3
Restaurante 9,Churrascaria Premium,"['Picanha', 'Alcatra na Brasa', 'Fraldinha', 'Linguiça Artesanal', 'Costelão', 'Abacaxi Grelhado']","['picanha', 'alcatra', 'fraldinha', 'linguiça artesanal', 'costela bovina', 'sal grosso', 'carvão', 'abacaxi', 'açúcar mascavo']",Setor 4
Restaurante 10,Italiana Tradicional,"['Spaghetti à Bolonhesa', 'Lasagna', 'Pizza Margherita', 'Fettuccine Alfredo', 'Polenta Cremosa', 'Panna Cotta']","['massa seca', 'molho de tomate', 'carne moída', 'queijo parmesão', 'presunto', 'muçarela', 'manjericão', 'creme de leite', 'manteiga', 'milho de fubá', 'gelatina', 'baunilha']",Setor 2
Restaurante 11,Comida Árabe,"['Kibe Assado', 'Esfiha de Carne', 'Homus', 'Tabule', 'Kafta', 'Baklava']","['trigo para kibe', 'carne moída', 'hortelã', 'alho', 'cebola', 'azeite de oliva', 'grão-de-bico', 'tahine', 'salsinha', 'tomate', 'arroz', 'nozes', 'mel', 'massa folhada']",Setor 3
Restaurante 12,Mexicana,"['Tacos de Carne', 'Burrito de Frango', 'Quesadilla', 'Nachos com Guacamole', 'Chili com Carne', 'Churros']","['tortilla de milho', 'carne bovina', 'frango desfiado', 'queijo cheddar', 'tomate', 'abacate', 'feijão vermelho', 'pimenta chili', 'cebola', 'alho', 'açúcar', 'canela']",Setor 4
Restaurante 14,Lanchonete,"['X-Salada', 'X-Bacon', 'Cachorro-Quente', 'Batata Frita', 'Misto Quente', 'Milkshake']","['pão de hambúrguer', 'carne bovina', 'queijo prato', 'alface', 'tomate', 'bacon', 'salsicha', 'batata', 'presunto', 'pão de forma', 'sorvete', 'leite']",Setor 2
Restaurante 15,Self-service Popular,"['Arroz Branco', 'Feijão Preto', 'Frango Grelhado', 'Carne de Panela', 'Farofa Simples', 'Gelatina']","['arroz', 'feijão preto', 'frango', 'óleo de soja', 'alho', 'carne bovina', 'farinha de mandioca', 'ovo cozido', 'cenoura', 'gelatina em pó', 'açúcar']",Setor 3
Restaurante 16,Pizzaria Popular,"['Pizza de Calabresa', 'Pizza de Muçarela', 'Pizza Portuguesa', 'Pizza de Frango com Catupiry', 'Pizza de Chocolate', 'Esfiha Doce']","['massa de pizza', 'molho de tomate', 'calabresa', 'muçarela', 'presunto', 'ovo', 'pimentão', 'frango desfiado', 'catupiry', 'chocolate', 'banana', 'canela']",Setor 4
Restaurante 17,Prato Feito,"['Arroz com Feijão', 'Bife Acebolado', 'Frango à Milanesa', 'Omelete', 'Macarrão ao Sugo', 'Salada Simples']","['arroz', 'feijão carioca', 'bife bovino', 'cebola', 'frango', 'farinha de rosca', 'ovo', 'macarrão', 'molho de tomate', 'alface', 'tomate', 'cenoura', 'óleo']",Setor 4
